FID,Id,ORIG_FID,POINT_X,POINT_Y
0,0,0,-528412.424309000020000,-713836.652593999980000
1,0,0,-528336.952400999960000,-713859.973695000050000
2,0,0,-528359.571866999960000,-713941.321852999970000
3,0,0,-528459.686308000000000,-713932.260381000000000
4,0,0,-528439.463332999960000,-713859.251488000040000
5,0,0,-528412.424309000020000,-713836.652593999980000
6,0,1,-528228.601325999950000,-713736.973032000010000
7,0,1,-528177.754699000040000,-713761.864320000050000
8,0,1,-528183.372010000050000,-713794.714048999940000
9,0,1,-528240.170921999960000,-713770.743581000020000
10,0,1,-528228.601325999950000,-713736.973032000010000
11,0,2,-528173.407645000030000,-713734.885304000000000
12,0,2,-528164.656581999970000,-713728.129894000010000
13,0,2,-528156.629073000050000,-713727.714505000040000
14,0,2,-528155.398922999970000,-713729.065649000000000
15,0,2,-528090.288698000020000,-713744.346820999980000
16,0,2,-528094.942617999970000,-713763.366848999980000
17,0,2,-528111.851132999990000,-713763.470101000040000
18,0,2,-528120.112069000020000,-713790.908734999950000
19,0,2,-528172.057680999980000,-713766.585743000030000
20,0,2,-528178.208325000010000,-713759.829680999970000
21,0,2,-528173.407645000030000,-713734.885304000000000
22,0,3,-528128.499306999960000,-713700.276603000010000
23,0,3,-528077.183980999980000,-713720.130316999970000
24,0,3,-528087.505099999950000,-713742.787963000010000
25,0,3,-528158.612623999940000,-713725.115978999990000
26,0,3,-528158.165853000010000,-713717.632668999960000
27,0,3,-528147.984707999970000,-713711.189096000050000
28,0,3,-528128.499306999960000,-713700.276603000010000
29,0,4,-528041.346779000010000,-713662.966952000050000
30,0,4,-528039.373274000010000,-713688.847045999950000
31,0,4,-528062.302345999980000,-713689.261943000020000
32,0,4,-528073.683627999970000,-713701.941669999970000
33,0,4,-528090.722071000030000,-713694.977291999970000
34,0,4,-528086.498200000030000,-713670.448581999980000
35,0,4,-528041.346779000010000,-713662.966952000050000
36,0,5,-527870.959162999990000,-713621.606248000050000
37,0,5,-527849.590419000010000,-713613.811741000040000
38,0,5,-527821.870930999980000,-713611.733884999990000
39,0,5,-527823.727667000030000,-713649.774482000040000
40,0,5,-527850.940333000040000,-713659.543631999990000
41,0,5,-527872.752608999960000,-713641.250221000050000
42,0,5,-527870.959162999990000,-713621.606248000050000
43,0,6,-527816.203795999990000,-713608.096349000000000
44,0,6,-527771.635975999990000,-713590.740143000030000
45,0,6,-527778.859825000050000,-713630.859507999960000
46,0,6,-527780.213329000050000,-713632.730262000000000
47,0,6,-527794.938114000020000,-713634.392888000000000
48,0,6,-527813.160100999990000,-713620.672655000000000
49,0,6,-527816.203795999990000,-713608.096349000000000
50,0,7,-527924.204375999980000,-713681.471673000020000
51,0,7,-527918.137083000040000,-713675.755402000040000
52,0,7,-527856.477497000010000,-713670.248807000000000
53,0,7,-527865.224888000060000,-713720.865317999970000
54,0,7,-527891.990939000040000,-713723.151008000020000
55,0,7,-527906.919033000010000,-713759.424103999980000
56,0,7,-527909.796005000010000,-713771.792363999990000
57,0,7,-527933.838633000040000,-713757.344448999970000
58,0,7,-527933.538575000010000,-713755.785405999980000
59,0,7,-527937.688973000040000,-713738.635830000040000
60,0,7,-527941.486097999960000,-713724.812289000020000
61,0,7,-527925.867855999970000,-713708.183135000060000
62,0,7,-527924.204375999980000,-713681.471673000020000
63,0,8,-526560.204052999960000,-713892.414924000040000
64,0,8,-526514.438164000050000,-713902.392513000060000
65,0,8,-526516.364976000040000,-713935.641039000010000
66,0,8,-526554.709245000030000,-713959.982862000000000
67,0,8,-526576.039850999950000,-713951.508979000030000
68,0,8,-526560.204052999960000,-713892.414924000040000
69,0,9,-526486.949541999960000,-713903.526113000000000
70,0,9,-526457.466458000010000,-713902.138941999990000
71,0,9,-526438.607564999950000,-713911.630262000020000
72,0,9,-526482.792724000060000,-713930.798471000050000
73,0,9,-526486.949541999960000,-713903.526113000000000
74,0,10,-526512.198594999970000,-713898.507612999990000
75,0,10,-526490.356600999950000,-713898.395611000010000
76,0,10,-526484.660891999960000,-713931.807496999970000
77,0,10,-526514.100923000020000,-713942.214764000030000
78,0,10,-526512.198594999970000,-713898.507612999990000
79,0,11,-527064.886275000060000,-713840.374121999950000
80,0,11,-527075.569973999980000,-713797.288267000000000
81,0,11,-527037.454640000010000,-713790.963590000060000
82,0,11,-527038.333468000060000,-713772.123354000040000
83,0,11,-526995.814355000040000,-713773.741308000060000
84,0,11,-527001.283306000060000,-713837.755205999940000
85,0,11,-527064.886275000060000,-713840.374121999950000
86,0,12,-527127.959689000040000,-713832.572731000020000
87,0,12,-527119.912433000050000,-713819.137996000000000
88,0,12,-527087.962940000000000,-713808.722044000050000
89,0,12,-527074.224093000060000,-713841.298446999980000
90,0,12,-527119.153291999940000,-713858.042293000030000
91,0,12,-527127.959689000040000,-713832.572731000020000
92,0,13,-527340.942002000050000,-713606.562153000040000
93,0,13,-527323.289098000040000,-713617.416009000040000
94,0,13,-527317.444142999940000,-713631.043621000020000
95,0,13,-527331.984239000010000,-713654.322086000000000
96,0,13,-527356.092671000050000,-713647.507612999990000
97,0,13,-527340.942002000050000,-713606.562153000040000
98,0,14,-531773.688140999990000,-710281.718284999950000
99,0,14,-531774.058682000030000,-710275.003155000040000
100,0,14,-531762.023640000030000,-710272.462317000030000
101,0,14,-531737.955780999970000,-710274.049324000020000
102,0,14,-531725.908687000050000,-710318.637915999980000
103,0,14,-531728.399199999990000,-710341.064003000040000
104,0,14,-531758.522575999960000,-710325.011442000050000
105,0,14,-531764.923549000060000,-710305.385688000010000
106,0,14,-531773.688140999990000,-710281.718284999950000
107,0,15,-561412.086771999950000,-696913.479360000000000
108,0,15,-561408.471131999980000,-696911.562982999950000
109,0,15,-561404.668613999970000,-696913.438328000020000
110,0,15,-561400.276740000000000,-696918.386294999970000
111,0,15,-561401.283749000050000,-696923.939809000000000
112,0,15,-561411.718904000010000,-696923.124263999980000
113,0,15,-561413.085348000050000,-696922.992852999950000
114,0,15,-561412.086771999950000,-696913.479360000000000
115,0,16,-561412.458443999990000,-696925.687290000030000
116,0,16,-561406.791058999950000,-696925.856248000050000
117,0,16,-561410.052002000040000,-696933.623945000000000
118,0,16,-561414.333005000020000,-696933.399869999960000
119,0,16,-561412.458443999990000,-696925.687290000030000
120,0,17,-561444.946862000040000,-696923.126473000040000
121,0,17,-561436.704426000010000,-696923.355014999980000
122,0,17,-561435.856861999960000,-696929.639319999960000
123,0,17,-561442.123813000040000,-696930.538842999960000
124,0,17,-561446.730437000050000,-696928.029824999980000
125,0,17,-561444.946862000040000,-696923.126473000040000
126,0,18,-561432.464445000050000,-696922.069622999990000
127,0,18,-561428.770778000010000,-696923.177548000010000
128,0,18,-561425.505755000050000,-696921.233340000040000
129,0,18,-561422.650056999990000,-696922.072766000060000
130,0,18,-561426.313452000030000,-696928.678607000040000
131,0,18,-561434.053747000060000,-696926.618535000020000
132,0,18,-561432.464445000050000,-696922.069622999990000
133,0,19,-561421.625269999960000,-696922.171292999990000
134,0,19,-561414.084956999980000,-696924.590224000040000
135,0,19,-561419.125676000030000,-696933.126629999960000
136,0,19,-561422.537328999960000,-696932.798421000010000
137,0,19,-561419.854583999960000,-696927.608476000020000
138,0,19,-561423.108634999950000,-696925.415209000000000
139,0,19,-561421.625269999960000,-696922.171292999990000
140,0,20,-561406.369642999950000,-696928.905511999970000
141,0,20,-561404.564434000060000,-696927.951176999950000
142,0,20,-561401.310498000010000,-696926.195287000040000
143,0,20,-561399.547708999950000,-696927.681578999970000
144,0,20,-561401.347562000040000,-696930.516371999980000
145,0,20,-561405.866790000000000,-696931.021299000010000
146,0,20,-561406.369642999950000,-696928.905511999970000
147,0,21,-561424.259058000050000,-696906.696500999970000
148,0,21,-561418.221185000030000,-696906.711185000020000
149,0,21,-561416.291730000060000,-696908.217513000010000
150,0,21,-561417.925989000010000,-696912.774005000010000
151,0,21,-561421.483385000030000,-696913.939054999970000
152,0,21,-561425.173215999970000,-696912.830546000040000
153,0,21,-561424.259058000050000,-696906.696500999970000
154,0,22,-561434.160474000030000,-696905.555410000030000
155,0,22,-561427.763888000040000,-696905.415824000030000
156,0,22,-561426.432405999980000,-696907.808040000030000
157,0,22,-561427.001193000000000,-696912.089471000010000
158,0,22,-561436.144238000040000,-696912.152086999970000
159,0,22,-561434.160474000030000,-696905.555410000030000
160,0,23,-561443.290463999960000,-696907.317965000050000
161,0,23,-561436.315227000040000,-696906.480107999990000
162,0,23,-561438.160225000000000,-696913.464998999960000
163,0,23,-561443.627446000000000,-696912.939139000020000
164,0,23,-561443.290463999960000,-696907.317965000050000
165,0,24,-561460.491306000040000,-696904.909073999970000
166,0,24,-561451.996263999960000,-696904.405761000000000
167,0,24,-561451.969097999970000,-696909.876231999950000
168,0,24,-561457.945672999950000,-696911.185195000030000
169,0,24,-561460.491306000040000,-696904.909073999970000
170,0,25,-561444.001271000020000,-696915.162574999970000
171,0,25,-561441.200486000050000,-696914.678946999950000
172,0,25,-561438.928130000010000,-696916.215216999990000
173,0,25,-561443.502494000010000,-696919.161518999960000
174,0,25,-561446.217299000010000,-696918.712285000020000
175,0,25,-561444.001271000020000,-696915.162574999970000
176,0,26,-561501.131804000000000,-696914.746174999980000
177,0,26,-561497.906418000000000,-696917.311906000020000
178,0,26,-561502.570487000050000,-696933.929485999980000
179,0,26,-561506.363645000030000,-696930.006905999970000
