ORIG_FID,POINT_X,POINT_Y,Area
0,-580006.9071,-684713.4407,1719
0,-580004.6513,-684713.5349,1719
0,-580003.868,-684713.6915,1719
0,-580002.6174,-684715.7265,1719
0,-580002.337,-684716.8534,1719
0,-580001.7764,-684719.1071,1719
0,-580001.2157,-684721.3609,1719
0,-580000.5617,-684723.9902,1719
0,-579999.9076,-684726.6194,1719
0,-579999.5339,-684728.1219,1719
0,-579999.1602,-684729.6243,1719
0,-579999.038,-684731.6112,1719
0,-579999.0093,-684733.2224,1719
0,-579999.1388,-684735.6934,1719
0,-579999.1101,-684737.3044,1719
0,-579999.5846,-684739.8836,1719
0,-579999.7427,-684740.7433,1719
0,-580000.6553,-684743.0553,1719
0,-580000.8779,-684745.1494,1719
0,-580001.6323,-684746.6013,1719
0,-580002.5443,-684748.9119,1719
0,-580004.2677,-684749.4542,1719
0,-580005.646,-684749.8879,1719
0,-580008.0574,-684750.6468,1719
0,-580009.7792,-684751.1887,1719
0,-580011.8449,-684751.8387,1719
0,-580014.3472,-684752.2219,1719
0,-580015.8167,-684752.2801,1719
0,-580017.8803,-684752.9296,1719
0,-580020.0367,-684753.2042,1719
0,-580022.536,-684753.5868,1719
0,-580023.5668,-684753.9114,1719
0,-580025.9716,-684754.6685,1719
0,-580026.6585,-684754.8847,1719
0,-580028.5618,-684754.6761,1719
0,-580029.5917,-684755.0004,1719
0,-580031.7442,-684755.2744,1719
0,-580034.3324,-684755.282,1719
0,-580036.2337,-684755.0736,1719
0,-580038.9134,-684754.7069,1719
0,-580040.9999,-684753.7501,1719
0,-580042.4015,-684752.5762,1719
0,-580043.3682,-684751.6663,1719
0,-580043.7418,-684750.1678,1719
0,-580044.209,-684748.2948,1719
0,-580044.5827,-684746.7962,1719
0,-580045.1432,-684744.5482,1719
0,-580045.7039,-684742.3,1719
0,-580046.0777,-684740.8012,1719
0,-580046.3886,-684738.0709,1719
0,-580046.7624,-684736.5717,1719
0,-580047.3232,-684734.3229,1719
0,-580047.4472,-684732.3416,1719
0,-580047.8211,-684730.8422,1719
0,-580048.2885,-684728.9678,1719
0,-580048.6624,-684727.4682,1719
0,-580049.1299,-684725.5937,1719
0,-580048.8172,-684723.8791,1719
0,-580048.2546,-684721.682,1719
0,-580047.5984,-684719.8596,1719
0,-580046.4116,-684718.6795,1719
0,-580045.1313,-684717.8745,1719
0,-580043.07,-684717.2294,1719
0,-580041.6957,-684716.7992,1719
0,-580040.3212,-684716.369,1719
0,-580038.0752,-684716.4658,1719
0,-580036.7024,-684716.0291,1719
0,-580034.8928,-684715.8579,1719
0,-580032.9893,-684716.0614,1719
0,-580031.1787,-684715.8902,1719
0,-580030.0547,-684715.9374,1719
0,-580028.587,-684715.8754,1719
0,-580026.6819,-684716.079,1719
0,-580025.3068,-684715.642,1719
0,-580023.0568,-684715.7363,1719
0,-580020.7128,-684716.2059,1719
0,-580019.2431,-684716.1438,1719
0,-580017.5223,-684715.5971,1719
0,-580016.0518,-684715.535,1719
0,-580013.8924,-684715.2541,1719
0,-580012.0767,-684715.0825,1719
0,-580010.354,-684714.5354,1719
0,-580008.2861,-684713.8787,1719
0,-580006.9071,-684713.4407,1719
1,-607399.3839,-649975.8747,1056
1,-607397.8365,-649976.8938,1056
1,-607397.1114,-649977.1052,1056
1,-607395.7294,-649977.7926,1056
1,-607394.7913,-649979.2039,1056
1,-607393.8856,-649979.753,1056
1,-607392.877,-649980.9005,1056
1,-607392.042,-649981.713,1056
1,-607391.207,-649982.5255,1056
1,-607389.8139,-649983.2167,1056
1,-607388.9088,-649983.7653,1056
1,-607387.76,-649984.385,1056
1,-607386.1242,-649985.1468,1056
1,-607384.9058,-649985.5024,1056
1,-607383.9315,-649985.787,1056
1,-607381.9834,-649986.3558,1056
1,-607381.2532,-649986.569,1056
1,-607379.793,-649986.9953,1056
1,-607378.3334,-649987.4215,1056
1,-607376.8046,-649987.584,1056
1,-607376.2486,-649987.4626,1056
1,-607374.7547,-649986.7641,1056
1,-607374.4421,-649986.5718,1056
1,-607373.6779,-649985.6609,1056
1,-607372.914,-649984.7504,1056
1,-607371.8725,-649982.7887,1056
1,-607371.2827,-649981.5454,1056
1,-607370.5199,-649980.6367,1056
1,-607369.7576,-649979.7283,1056
1,-607369.0649,-649979.0829,1056
1,-607368.5802,-649979.2251,1056
1,-607368.1303,-649980.4884,1056
1,-607367.5765,-649982.3482,1056
1,-607367.161,-649982.753,1056
1,-607366.5378,-649984.3506,1056
1,-607365.9145,-649985.9484,1056
1,-607365.395,-649986.9498,1056
1,-607365.0138,-649988.4772,1056
1,-607364.7366,-649989.408,1056
1,-607364.7709,-649990.5313,1056
1,-607365.0475,-649991.584,1056
1,-607365.3936,-649992.9004,1056
1,-607365.7397,-649994.2174,1056
1,-607366.5712,-649995.3936,1056
1,-607367.0218,-649996.1138,1056
1,-607367.7846,-649997.0271,1056
1,-607369.2419,-649998.5914,1056
1,-607369.9363,-649999.2419,1056
1,-607370.77,-650000.4209,1056
1,-607372.0208,-650001.195,1056
1,-607372.7859,-650002.1108,1056
1,-607374.1775,-650003.4147,1056
1,-607374.8737,-650004.067,1056
1,-607375.8835,-650004.9136,1056
1,-607377.0675,-650005.4253,1056
1,-607377.451,-650005.8842,1056
1,-607378.3921,-650006.4669,1056
1,-607379.4037,-650007.3149,1056
1,-607380.4158,-650008.1632,1056
1,-607381.6023,-650008.6763,1056
