FID,Id,area,ORIG_FID,POINT_X,POINT_Y
0,0,1719,0,-580006.907145999950000,-684713.440702000050000
1,0,1719,0,-580004.651334999940000,-684713.534921000010000
2,0,1719,0,-580003.868028000000000,-684713.691503999990000
3,0,1719,0,-580002.617412999970000,-684715.726461000040000
4,0,1719,0,-580002.337043000040000,-684716.853390999950000
5,0,1719,0,-580001.776391000020000,-684719.107131000030000
6,0,1719,0,-580001.215740000010000,-684721.360870999980000
7,0,1719,0,-580000.561660000010000,-684723.990212999980000
8,0,1719,0,-579999.907573999950000,-684726.619439000030000
9,0,1719,0,-579999.533865000000000,-684728.121850000000000
10,0,1719,0,-579999.160156999950000,-684729.624261999970000
11,0,1719,0,-579999.038023000000000,-684731.611201000050000
12,0,1719,0,-579999.009309999990000,-684733.222422000020000
13,0,1719,0,-579999.138819999990000,-684735.693421000030000
14,0,1719,0,-579999.110093000000000,-684737.304409999980000
15,0,1719,0,-579999.584564000020000,-684739.883639000010000
16,0,1719,0,-579999.742684000060000,-684740.743307000030000
17,0,1719,0,-580000.655260000030000,-684743.055296999980000
18,0,1719,0,-580000.877927000050000,-684745.149429999990000
19,0,1719,0,-580001.632257999970000,-684746.601294999940000
20,0,1719,0,-580002.544265000030000,-684748.911925000020000
21,0,1719,0,-580004.267679000040000,-684749.454208999990000
22,0,1719,0,-580005.646014000060000,-684749.887920000010000
23,0,1719,0,-580008.057412000020000,-684750.646781999970000
24,0,1719,0,-580009.779248000010000,-684751.188696000030000
25,0,1719,0,-580011.844867000010000,-684751.838680000040000
26,0,1719,0,-580014.347157999990000,-684752.221860000050000
27,0,1719,0,-580015.816691000010000,-684752.280103000000000
28,0,1719,0,-580017.880336000000000,-684752.929623999980000
29,0,1719,0,-580020.036668000040000,-684753.204168000030000
30,0,1719,0,-580022.536009000030000,-684753.586828000030000
31,0,1719,0,-580023.566800000030000,-684753.911418000000000
32,0,1719,0,-580025.971570000050000,-684754.668471000040000
33,0,1719,0,-580026.658459999950000,-684754.884651000030000
34,0,1719,0,-580028.561845000020000,-684754.676144000030000
35,0,1719,0,-580029.591742999970000,-684755.000438999970000
36,0,1719,0,-580031.744244999950000,-684755.274399999990000
37,0,1719,0,-580034.332373999990000,-684755.281969000000000
38,0,1719,0,-580036.233723000040000,-684755.073584000000000
39,0,1719,0,-580038.913415999970000,-684754.706940999950000
40,0,1719,0,-580040.999936999990000,-684753.750125000020000
41,0,1719,0,-580042.401458999960000,-684752.576202000030000
42,0,1719,0,-580043.368183000010000,-684751.666296000010000
43,0,1719,0,-580043.741834999990000,-684750.167839000000000
44,0,1719,0,-580044.208975999970000,-684748.294819999950000
45,0,1719,0,-580044.582718000050000,-684746.796240999950000
46,0,1719,0,-580045.143222999990000,-684744.548205000000000
47,0,1719,0,-580045.703913999950000,-684742.300040000000000
48,0,1719,0,-580046.077737999960000,-684740.801223000050000
49,0,1719,0,-580046.388550000030000,-684738.070869000050000
50,0,1719,0,-580046.762351999990000,-684736.571704000000000
51,0,1719,0,-580047.323200999990000,-684734.322948000040000
52,0,1719,0,-580047.447220999980000,-684732.341586999940000
53,0,1719,0,-580047.821105999990000,-684730.842184999960000
54,0,1719,0,-580048.288548000040000,-684728.967751999970000
55,0,1719,0,-580048.662426000000000,-684727.468234000030000
56,0,1719,0,-580049.129859999990000,-684725.593684999970000
57,0,1719,0,-580048.817211000020000,-684723.879128000000000
58,0,1719,0,-580048.254564999950000,-684721.682039999990000
59,0,1719,0,-580047.598437999960000,-684719.859628999960000
60,0,1719,0,-580046.411627999970000,-684718.679544999960000
61,0,1719,0,-580045.131260999940000,-684717.874490999970000
62,0,1719,0,-580043.070029000050000,-684717.229361000010000
63,0,1719,0,-580041.695710000000000,-684716.799245000000000
64,0,1719,0,-580040.321190000050000,-684716.369025000020000
65,0,1719,0,-580038.075167999950000,-684716.465793999960000
66,0,1719,0,-580036.702394000020000,-684716.029074999970000
67,0,1719,0,-580034.892776999970000,-684715.857892000000000
68,0,1719,0,-580032.989290000060000,-684716.061409999970000
69,0,1719,0,-580031.178696000020000,-684715.890170000030000
70,0,1719,0,-580030.054741999950000,-684715.937448999960000
71,0,1719,0,-580028.587025000020000,-684715.875378999980000
72,0,1719,0,-580026.681889000000000,-684716.078996000000000
73,0,1719,0,-580025.306760999960000,-684715.641953999990000
74,0,1719,0,-580023.056794999980000,-684715.736286000000000
75,0,1719,0,-580020.712800999990000,-684716.205909000010000
76,0,1719,0,-580019.243138000020000,-684716.143840000030000
77,0,1719,0,-580017.522279000030000,-684715.597102000030000
78,0,1719,0,-580016.051833000030000,-684715.534963999990000
79,0,1719,0,-580013.892400000010000,-684715.254100000020000
80,0,1719,0,-580012.076723000030000,-684715.082468000010000
81,0,1719,0,-580010.353994000000000,-684714.535379000010000
82,0,1719,0,-580008.286124999980000,-684713.878675000040000
83,0,1719,0,-580006.907145999950000,-684713.440702000050000
84,0,1056,1,-607399.383853000010000,-649975.874734999960000
85,0,1056,1,-607397.836541999950000,-649976.893792000020000
86,0,1056,1,-607397.111419999970000,-649977.105229999990000
87,0,1056,1,-607395.729413999940000,-649977.792595000010000
88,0,1056,1,-607394.791332000050000,-649979.203884999970000
89,0,1056,1,-607393.885572999950000,-649979.753001000030000
90,0,1056,1,-607392.876972000000000,-649980.900528999980000
91,0,1056,1,-607392.041999000010000,-649981.713039000050000
92,0,1056,1,-607391.207027000030000,-649982.525549000010000
93,0,1056,1,-607389.813909000020000,-649983.216650999970000
94,0,1056,1,-607388.908796999950000,-649983.765258000000000
95,0,1056,1,-607387.760012999990000,-649984.384975000050000
96,0,1056,1,-607386.124166999940000,-649985.146775000030000
97,0,1056,1,-607384.905814999950000,-649985.502436000040000
98,0,1056,1,-607383.931522000000000,-649985.786963999970000
99,0,1056,1,-607381.983402000040000,-649986.355755000030000
