FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
0,0,f1_perimeter,986,0,-576514.7551,-691334.197
1,0,f1_perimeter,986,0,-576513.4017,-691332.6231
2,0,f1_perimeter,986,0,-576512.4751,-691332.8711
3,0,f1_perimeter,986,0,-576511.734,-691333.0694
4,0,f1_perimeter,986,0,-576510.6222,-691333.3669
5,0,f1_perimeter,986,0,-576509.8809,-691333.5652
6,0,f1_perimeter,986,0,-576509.1398,-691333.7635
7,0,f1_perimeter,986,0,-576508.028,-691334.061
8,0,f1_perimeter,986,0,-576507.2868,-691334.2593
9,0,f1_perimeter,986,0,-576506.5455,-691334.4576
10,0,f1_perimeter,986,0,-576505.4337,-691334.7551
11,0,f1_perimeter,986,0,-576504.6926,-691334.9534
12,0,f1_perimeter,986,0,-576503.9039,-691334.9493
13,0,f1_perimeter,986,0,-576502.9773,-691335.1971
14,0,f1_perimeter,986,0,-576502.1887,-691335.1931
15,0,f1_perimeter,986,0,-576501.2148,-691335.2385
16,0,f1_perimeter,986,0,-576500.6589,-691335.3873
17,0,f1_perimeter,986,0,-576499.3144,-691335.5319
18,0,f1_perimeter,986,0,-576498.711,-691335.4783
19,0,f1_perimeter,986,0,-576497.7845,-691335.7261
20,0,f1_perimeter,986,0,-576496.9959,-691335.7221
21,0,f1_perimeter,986,0,-576496.2073,-691335.718
22,0,f1_perimeter,986,0,-576495.048,-691335.813
23,0,f1_perimeter,986,0,-576494.0266,-691335.656
24,0,f1_perimeter,986,0,-576493.0527,-691335.7016
25,0,f1_perimeter,986,0,-576492.4968,-691335.8503
26,0,f1_perimeter,986,0,-576491.5702,-691336.0982
27,0,f1_perimeter,986,0,-576490.4584,-691336.3957
28,0,f1_perimeter,986,0,-576489.7173,-691336.594
29,0,f1_perimeter,986,0,-576489.0235,-691336.9947
30,0,f1_perimeter,986,0,-576488.3297,-691337.3954
31,0,f1_perimeter,986,0,-576487.4507,-691337.8457
32,0,f1_perimeter,986,0,-576486.5241,-691338.0936
