FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
0,0,f1_perimeter,986,0,-576514.755122000000000,-691334.197017999950000
1,0,f1_perimeter,986,0,-576513.401702999950000,-691332.623126000050000
2,0,f1_perimeter,986,0,-576512.475133999950000,-691332.871093000050000
3,0,f1_perimeter,986,0,-576511.733990999990000,-691333.069389999960000
4,0,f1_perimeter,986,0,-576510.622183999980000,-691333.366900000020000
5,0,f1_perimeter,986,0,-576509.880943999970000,-691333.565202999980000
6,0,f1_perimeter,986,0,-576509.139801000010000,-691333.763500000000000
7,0,f1_perimeter,986,0,-576508.027993000000000,-691334.061009000060000
8,0,f1_perimeter,986,0,-576507.286751999990000,-691334.259311000000000
9,0,f1_perimeter,986,0,-576506.545511999980000,-691334.457613999960000
10,0,f1_perimeter,986,0,-576505.433703999970000,-691334.755123000010000
11,0,f1_perimeter,986,0,-576504.692561000000000,-691334.953419000030000
12,0,f1_perimeter,986,0,-576503.903926000000000,-691334.949291000030000
13,0,f1_perimeter,986,0,-576502.977349000050000,-691335.197140999950000
14,0,f1_perimeter,986,0,-576502.188720999980000,-691335.193129000020000
15,0,f1_perimeter,986,0,-576501.214845999960000,-691335.238541999950000
16,0,f1_perimeter,986,0,-576500.658942000010000,-691335.387296000030000
17,0,f1_perimeter,986,0,-576499.314403000050000,-691335.531921999990000
18,0,f1_perimeter,986,0,-576498.711006000060000,-691335.478251000050000
19,0,f1_perimeter,986,0,-576497.784527000040000,-691335.726095000050000
20,0,f1_perimeter,986,0,-576496.995897999960000,-691335.722080999990000
21,0,f1_perimeter,986,0,-576496.207262999960000,-691335.717951999980000
22,0,f1_perimeter,986,0,-576495.047962000010000,-691335.813035000000000
23,0,f1_perimeter,986,0,-576494.026595999950000,-691335.656023000020000
24,0,f1_perimeter,986,0,-576493.052727999980000,-691335.701551000010000
25,0,f1_perimeter,986,0,-576492.496824000030000,-691335.850304999970000
26,0,f1_perimeter,986,0,-576491.570246999970000,-691336.098154000010000
27,0,f1_perimeter,986,0,-576490.458437999940000,-691336.395661000050000
28,0,f1_perimeter,986,0,-576489.717294999980000,-691336.593956999950000
29,0,f1_perimeter,986,0,-576489.023546000010000,-691336.994683000030000
30,0,f1_perimeter,986,0,-576488.329701000010000,-691337.395415000040000
31,0,f1_perimeter,986,0,-576487.450713000030000,-691337.845683000050000
