names_clean,names_raw,region_id,repo_id,date_num,vol_capacity_mean,vol_capacity_ste,sa_capacity,mean_x_pos,mean_y_pos
Bagmara_01312018_10_b,Bagmara_01312018_10_b,1,2125,737091,25091.160190653,3219.9202562447,5140,746109.752906,2639601.00902
Bagmara_01312018_11_b,Bagmara_01312018_11_b,1,2126,737091,2165.55631798206,652.682551455899,1012,746048.337476143,2639524.72799786
Bagmara_01312018_12_b,Bagmara_01312018_12_b,1,2127,737091,4081.38986100717,990.415355611739,1487,746246.790604533,2639596.50049533
Bagmara_01312018_13_b,Bagmara_01312018_13_b,1,2128,737091,3688.60987498769,1036.22861447194,1438,746248.608719467,2639527.713984
Bagmara_01312018_14_b,Bagmara_01312018_14_b,1,2129,737091,2601.03895806476,630.237549040467,1114,746281.753702889,2639572.99232889
Bagmara_01312018_15_b,Bagmara_01312018_15_b,1,2130,737091,5941.2808395192,1190.31751890791,1907,746323.172609118,2639534.88063176
Bagmara_01312018_16_b,Bagmara_01312018_16_b,1,2131,737091,6147.04831374957,1066.67014638993,2061,746359.379200769,2639528.96217692
Bagmara_01312018_17_b,Bagmara_01312018_17_b,1,2132,737091,6472.51857124545,1326.3232310991,2065,746381.569268389,2639476.60404889
Bagmara_01312018_18_b,Bagmara_01312018_18_b,1,2133,737091,2227.60924247655,585.33878857956,1012,746407.075659,2639440.62901538
Bagmara_01312018_19_b,Bagmara_01312018_19_b,1,2134,737091,8482.06206647708,1449.28850368767,2355,746435.973346714,2639422.0661381
Bagmara_01312018_1_b,Bagmara_01312018_1_b,1,2116,737091,3055.95821510166,861.364534400031,1263,745523.874436833,2640160.6166525
Bagmara_01312018_20_b,Bagmara_01312018_20_b,1,2135,737091,3313.72224903926,808.354631826167,1288,746467.839332444,2639388.30624889
Bagmara_01312018_21_b,Bagmara_01312018_21_b,1,2136,737091,14562.8740811369,2421.15311535182,3461,746514.295773895,2639341.81114684
Bagmara_01312018_22_b,Bagmara_01312018_22_b,1,2137,737091,3885.14345081665,940.174097960585,1429,746562.172066273,2639302.96492273
Bagmara_01312018_23_b,Bagmara_01312018_23_b,1,2138,737091,4814.78241643486,1283.51421868846,1687,746588.639653333,2639280.368556
Bagmara_01312018_24_b,Bagmara_01312018_24_b,1,2139,737091,9188.12523072238,1681.48890155111,2562,745591.861782,2639551.86366563
Bagmara_01312018_2_b,Bagmara_01312018_2_b,1,2117,737091,4741.8587680043,947.983600352316,1670,745571.9021974,2640119.206024
Bagmara_01312018_3_b,Bagmara_01312018_3_b,1,2118,737091,2685.62612216213,729.711786406357,1160,745776.543686778,2639893.43108611
Bagmara_01312018_4_b,Bagmara_01312018_4_b,1,2119,737091,4755.47233483821,1017.86887966635,1684,745844.111045333,2639925.78312917
Bagmara_01312018_5_b,Bagmara_01312018_5_b,1,2120,737091,13108.3839717656,1985.90017321511,3272,745909.392189467,2639861.30492333
Bagmara_01312018_6_b,Bagmara_01312018_6_b,1,2121,737091,3417.0970657958,917.09814266616,1346,746003.154965923,2639778.73372154
Bagmara_01312018_7_b,Bagmara_01312018_7_b,1,2122,737091,1279.2684942412,346.521902532725,692,746058.648794909,2639735.84431364
Bagmara_01312018_8_b,Bagmara_01312018_8_b,1,2123,737091,1544.18903500378,447.48714994739,783,746107.382631083,2639706.40307583
Bagmara_01312018_9_b,Bagmara_01312018_9_b,1,2124,737091,1354.55486609394,350.362357240024,709,746131.666288187,2639683.05296937
Bagmara_02012017_1_n,Bagmara_02012017_1,1,2107,736727,18.1524152642814,0.689652274037307,24,745660.215252,2640077.016627
Bagmara_02012017_2_b,Bagmara_02012017_2_b,1,2108,736727,2219.93196760979,637.13070764766,997,745769.124935857,2639893.94277905
Bagmara_02012017_3_b,Bagmara_02012017_3_b,1,2109,736727,6541.54214246361,1334.95183133361,2144,745860.954714652,2639921.72914
Bagmara_02012017_4_b,Bagmara_02012017_4_b,1,2110,736727,10858.2831036341,1737.12730349407,2849,745899.657608714,2639862.88876
Bagmara_02012017_5_b,Bagmara_02012017_5_b,1,2111,736727,5855.39978901294,1098.05478029426,1993,746014.597880783,2639775.8251287
Bagmara_02012017_6_b,Bagmara_02012017_6_b,1,2112,736727,1706.76601721557,486.33079231537,844,746074.060042222,2639737.46778611
Bagmara_02012017_7_b,Bagmara_02012017_7_b,1,2113,736727,8752.83970139236,1730.48968842111,2455,746247.779108056,2639605.18172611
Bagmara_02012017_8_b,Bagmara_02012017_8_b,1,2114,736727,6502.6766601902,1258.37602567132,2009,746317.876432462,2639533.36424615
Bagmara_02012017_9_b,Bagmara_02012017_9_b,1,2115,736727,3101.11670070535,743.69142471185,1258,746048.153018091,2639524.45860364
Bagmara_02022016_1_b,Bagmara_02022016_1_b,1,2079,736362,1785.60517797588,505.283936586376,865,745773.051063833,2639893.6632225
Bagmara_02022016_2_b,Bagmara_02022016_2_b,1,2080,736362,1641.64702280412,434.084340853979,845,745877.636167125,2639922.28212875
Bagmara_02022016_3_b,Bagmara_02022016_3_b,1,2081,736362,2817.18958884047,737.744114638457,1200,745896.987394727,2639878.08032909
Bagmara_02022016_4_b,Bagmara_02022016_4_b,1,2082,736362,1924.38823307631,533.396080025235,876,746350.552677333,2639502.057234
Bagmara_02052018_10_b,Bagmara_02052018_10_b,1,2149,737096,2314.88869918434,629.602700786932,1038,746039.86347955,2639526.6468785
Bagmara_02052018_11_b,Bagmara_02052018_11_b,1,2150,737096,1746.00993183749,415.003652364187,843,746247.932414059,2639600.91218059
Bagmara_02052018_12_b,Bagmara_02052018_12_b,1,2151,737096,3401.74806224092,962.482162742586,1360,746284.3108684,2639573.434022
Bagmara_02052018_13_b,Bagmara_02052018_13_b,1,2152,737096,4516.83439708663,1113.04490407489,1621,746251.2117879,2639534.243945
Bagmara_02052018_14_b,Bagmara_02052018_14_b,1,2153,737096,5836.07211667673,1539.31635658276,1931,746327.388040091,2639532.19762
Bagmara_02052018_15_b,Bagmara_02052018_15_b,1,2154,737096,6858.4402878616,1210.26739407375,2250,746357.139511773,2639520.46757364
Bagmara_02052018_16_b,Bagmara_02052018_16_b,1,2155,737096,5525.56353639219,1326.33970766368,1942,746384.397955857,2639472.58973286
Bagmara_02052018_17_b,Bagmara_02052018_17_b,1,2156,737096,2382.13327320515,585.506495388446,1029,746411.480489263,2639452.03286
Bagmara_02052018_18_b,Bagmara_02052018_18_b,1,2157,737096,7963.97506031288,1779.30539820978,2350,746442.252328667,2639424.259622
Bagmara_02052018_19_b,Bagmara_02052018_19_b,1,2158,737096,3184.44053181422,797.837285197553,1280,746466.874968,2639384.96648
Bagmara_02052018_1_b,Bagmara_02052018_1_b,1,2140,737096,3883.57508011653,950.739528918987,1435,745526.7793688,2640168.750817
Bagmara_02052018_20_b,Bagmara_02052018_20_b,1,2159,737096,16353.2727832784,2211.09659305208,3716,746529.4398925,2639336.08446333
Bagmara_02052018_21_b,Bagmara_02052018_21_b,1,2160,737096,3477.07208813988,967.840893075954,1361,746566.385943067,2639303.62198933
Bagmara_02052018_22_b,Bagmara_02052018_22_b,1,2161,737096,4992.00484386149,1208.12255372102,1741,746594.219379188,2639284.17449187
Bagmara_02052018_23_b,Bagmara_02052018_23_b,1,2162,737096,7283.99056961163,1489.88111014674,2189,745594.427882647,2639560.76435647
Bagmara_02052018_2_b,Bagmara_02052018_2_b,1,2141,737096,3112.08678183673,823.922499752273,1274,745564.668431,2640128.8286475
Bagmara_02052018_3_b,Bagmara_02052018_3_b,1,2142,737096,2764.79126317525,696.562485841884,1175,745778.869502,2639896.65098529
Bagmara_02052018_4_b,Bagmara_02052018_4_b,1,2143,737096,5334.74637522262,1080.33859130573,1773,745843.742135882,2639929.05810412
Bagmara_02052018_5_b,Bagmara_02052018_5_b,1,2144,737096,11170.3350729746,1324.13096809908,2918,745904.403981,2639864.39999545
